result-school-link,result-school-link href,value 5,visuallyhidden 9,value 6,visuallyhidden 10,value 7,visuallyhidden 11,value 8,button-comparison-add,button-comparison-add href,text-add,text-create
Tauheedul Islam Girls' High School,https://www.compare-school-performance.service.gov.uk/school/141565/tauheedul-islam-girls'-high-school,"94%
(112 of 119 pupils)",Grade 5 or above in English & maths GCSEs,83%,Attainment 8 score,69.9,EBacc average point score,6.55,,,,
"Eden Boys' School, Birmingham",https://www.compare-school-performance.service.gov.uk/school/141969/eden-boys'-school%2c-birmingham,,Grade 5 or above in English & maths GCSEs,86%,Attainment 8 score,64.4,EBacc average point score,5.87,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/141969/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Eden Girls' School Coventry,https://www.compare-school-performance.service.gov.uk/school/140958/eden-girls'-school-coventry,,Grade 5 or above in English & maths GCSEs,55%,Attainment 8 score,58.3,EBacc average point score,5.3,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/140958/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Wembley High Technology College,https://www.compare-school-performance.service.gov.uk/school/138457/wembley-high-technology-college,"98%
(205 of 209 pupils)",Grade 5 or above in English & maths GCSEs,79%,Attainment 8 score,66.8,EBacc average point score,6.5,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138457/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Michaela Community School,https://www.compare-school-performance.service.gov.uk/school/140862/michaela-community-school,,Grade 5 or above in English & maths GCSEs,73%,Attainment 8 score,61.4,EBacc average point score,6.11,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/140862/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Heartlands Academy,https://www.compare-school-performance.service.gov.uk/school/135907/heartlands-academy,"93%
(138 of 149 pupils)",Grade 5 or above in English & maths GCSEs,71%,Attainment 8 score,60,EBacc average point score,4.84,,,,
Bishop Douglass School Finchley,https://www.compare-school-performance.service.gov.uk/school/143082/bishop-douglass-school-finchley,"87%
(93 of 107 pupils)",Grade 5 or above in English & maths GCSEs,46%,Attainment 8 score,53.4,EBacc average point score,4.93,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/143082/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
William Perkin Church of England High School,https://www.compare-school-performance.service.gov.uk/school/139725/william-perkin-church-of-england-high-school,,Grade 5 or above in English & maths GCSEs,69%,Attainment 8 score,60.9,EBacc average point score,5.83,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/139725/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Kendrick School,https://www.compare-school-performance.service.gov.uk/school/136448/kendrick-school,"100%
(96 of 96 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,84.7,EBacc average point score,8.32,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136448/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Preston Muslim Girls High School,https://www.compare-school-performance.service.gov.uk/school/136801/preston-muslim-girls-high-school,"96%
(72 of 75 pupils)",Grade 5 or above in English & maths GCSEs,57%,Attainment 8 score,61.7,EBacc average point score,5.66,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136801/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
